Grid,P.value,P.value.lower.bound,P.value.upper.bound,Longitude,Latitude
25,0.112,0.106,0.118,-98.2,37
26,1.000,1.000,1.000,-98,37
27,1.000,1.000,1.000,-97.8,37
28,1.000,1.000,1.000,-97.6,37
29,1.000,1.000,1.000,-97.4,37
66,0.730,0.721,0.739,-98.8,36.8
67,0.112,0.106,0.118,-98.6,36.8
68,0.102,0.096,0.108,-98.4,36.8
69,0.603,0.593,0.613,-98.2,36.8
70,0.387,0.378,0.397,-98,36.8
71,0.219,0.211,0.227,-97.8,36.8
72,0.467,0.457,0.477,-97.6,36.8
73,0.028,0.025,0.031,-97.4,36.8
110,0.615,0.605,0.624,-98.8,36.6
111,0.985,0.982,0.987,-98.6,36.6
112,0.013,0.011,0.016,-98.4,36.6
113,0.285,0.277,0.294,-98.2,36.6
114,0.001,0.001,0.002,-98,36.6
115,0.795,0.787,0.802,-97.8,36.6
116,0.885,0.878,0.891,-97.6,36.6
117,0.323,0.314,0.332,-97.4,36.6
118,0.191,0.184,0.199,-97.2,36.6
119,0.964,0.960,0.967,-97,36.6
152,0.013,0.011,0.015,-99.2,36.4
153,1.000,1.000,1.000,-99,36.4
154,0.988,0.986,0.990,-98.8,36.4
155,0.485,0.475,0.494,-98.6,36.4
156,0.433,0.423,0.443,-98.4,36.4
157,0.614,0.604,0.623,-98.2,36.4
158,0.889,0.882,0.895,-98,36.4
159,0.967,0.964,0.971,-97.8,36.4
160,0.895,0.889,0.901,-97.6,36.4
161,0.832,0.824,0.839,-97.4,36.4
162,0.732,0.723,0.740,-97.2,36.4
163,0.538,0.528,0.548,-97,36.4
164,0.003,0.002,0.004,-96.8,36.4
165,0.125,0.119,0.132,-96.6,36.4
198,0.751,0.742,0.759,-98.8,36.2
199,1.000,1.000,1.000,-98.6,36.2
200,0.422,0.413,0.432,-98.4,36.2
201,0.032,0.028,0.035,-98.2,36.2
203,0.804,0.796,0.811,-97.8,36.2
204,0.039,0.036,0.043,-97.6,36.2
205,0.139,0.132,0.146,-97.4,36.2
206,0.756,0.748,0.765,-97.2,36.2
207,0.849,0.841,0.855,-97,36.2
208,0.456,0.446,0.466,-96.8,36.2
209,0.002,0.001,0.003,-96.6,36.2
248,0.371,0.362,0.381,-97.6,36
249,0.393,0.383,0.403,-97.4,36
250,0.018,0.015,0.021,-97.2,36
251,1.000,1.000,1.000,-97,36
252,0.002,0.001,0.003,-96.8,36
292,0.364,0.355,0.374,-97.6,35.8
293,0.266,0.257,0.274,-97.4,35.8
294,0.009,0.007,0.011,-97.2,35.8
295,0.002,0.001,0.003,-97,35.8
296,0.230,0.221,0.238,-96.8,35.8
297,1.000,1.000,1.000,-96.6,35.8
333,0.012,0.010,0.014,-98.2,35.6
337,0.938,0.933,0.943,-97.4,35.6
338,0.196,0.188,0.204,-97.2,35.6
339,0.122,0.116,0.129,-97,35.6
340,0.899,0.893,0.905,-96.8,35.6
381,0.912,0.906,0.917,-97.4,35.4
382,0.430,0.420,0.439,-97.2,35.4
383,0.149,0.142,0.156,-97,35.4
384,0.774,0.765,0.782,-96.8,35.4
385,0.945,0.940,0.949,-96.6,35.4
386,0.163,0.155,0.170,-96.4,35.4
431,0.014,0.012,0.017,-96.2,35.2
467,0.875,0.868,0.882,-97.8,35
468,0.523,0.513,0.533,-97.6,35
474,0.892,0.886,0.898,-96.4,35
476,0.870,0.864,0.877,-96,35
511,0.650,0.641,0.660,-97.8,34.8
556,0.010,0.009,0.013,-97.6,34.6
563,0.017,0.015,0.020,-96.2,34.6
606,0.265,0.256,0.274,-96.4,34.4
648,1.000,1.000,1.000,-96.8,34.2
649,0.414,0.404,0.423,-96.6,34.2
689,0.017,0.015,0.020,-97.4,34
690,0.162,0.155,0.170,-97.2,34
693,0.250,0.241,0.258,-96.6,34
