Grid,P-value,P-value lower bound,P-value upper bound
358,0.0159,0.0135400755351,0.0185476028475
572,0.3481,0.338758713021,0.35752982643
623,0.4979,0.488052078824,0.507749144818
674,0.1821,0.17457936914,0.189806232749
777,0.3475,0.338162645061,0.356926244369
879,0.2785,0.269729770569,0.287399394097
880,1.0,0.999631180085,1
930,1.0,0.999631180085,1
982,1.0,0.999631180085,1
983,0.7408,0.732092188602,0.749367368182
1033,0.0004,0.000108996948026,0.00102383928657
1084,0.0485,0.0443716219797,0.0528937870403
1085,1.0,0.999631180085,1
1086,0.8949,0.888723698527,0.900845230418
1135,0.1602,0.153060742706,0.167537734539
1234,0.0503,0.04609773556,0.0547665460725
1235,0.4872,0.477358320718,0.497049137687
1340,0.8064,0.798517033148,0.814104115017
1345,1.0,0.999631180085,1
1397,0.881,0.87449266908,0.887284520705
1445,0.9324,0.927302202261,0.937244178415
1448,0.8544,0.847333972139,0.861258947747
1449,0.0766,0.0714612308015,0.0819869266836
1494,0.4308,0.42106582856,0.440574495972
1499,1e-05,0,0.000368819914619
1501,0.5955,0.585803922674,0.605140423779
1546,1.0,0.999631180085,1
1547,0.9346,0.929576523081,0.939368515315
1549,0.8453,0.838062003398,0.852336280628
1550,1.0,0.999631180085,1
1551,0.0001,2.53177759346e-06,0.000557036997947
1552,1.0,0.999631180085,1
1556,0.0002,2.42218456404e-05,0.000722280057724
1597,1.0,0.999631180085,1
1598,1.0,0.999631180085,1
1602,1.0,0.999631180085,1
1603,0.1137,0.107541309664,0.120084646291
1605,1.0,0.999631180085,1
1607,1.0,0.999631180085,1
1653,1.0,0.999631180085,1
1654,1.0,0.999631180085,1
1655,0.0164,0.0140022988371,0.019084970805
1657,1.0,0.999631180085,1
1658,0.9779,0.974825616957,0.980691479441
1659,1.0,0.999631180085,1
1705,0.5831,0.573363428633,0.592788145546
1706,1.0,0.999631180085,1
1707,0.3424,0.333096728945,0.351795135441
1708,0.0112,0.00923073512142,0.0134611403896
1709,0.6052,0.59554003644,0.614798655546
1710,0.0088,0.00706366869276,0.0108307613346
1757,0.8213,0.81364814115,0.82876425997
1758,0.6965,0.687382404397,0.705503030707
1759,0.8964,0.890261286602,0.902306748656
1760,0.3706,0.361122875562,0.380152541865
1761,1.0,0.999631180085,1
1803,0.4752,0.465370664923,0.485043785824
1809,0.2639,0.255281289695,0.272656406243
1810,0.0502,0.0460017997273,0.0546625444236
1811,0.9001,0.894055683493,0.905910145191
1812,1.0,0.999631180085,1
1813,1.0,0.999631180085,1
1855,0.0055,0.0041459608687,0.00715306301293
1856,0.0008,0.000345444476995,0.00157570710536
1857,1.0,0.999631180085,1
1859,1.0,0.999631180085,1
1862,0.9066,0.900727612682,0.912234331442
1863,1.0,0.999631180085,1
1906,0.9147,0.909053716873,0.920103369456
1907,0.6875,0.678311685671,0.696579003094
1908,1e-05,0,0.000368819914619
1958,1.0,0.999631180085,1
1959,0.0545,0.0501311240363,0.0591305428406
1960,0.6904,0.681234033159,0.699454962878
1964,0.2533,0.244798906267,0.261944986342
1965,0.6303,0.620751938309,0.63977211946
1966,1.0,0.999631180085,1
1967,1.0,0.999631180085,1
2014,1.0,0.999631180085,1
2015,1.0,0.999631180085,1
2016,0.8571,0.85008674223,0.863904584643
2017,1.0,0.999631180085,1
2018,1.0,0.999631180085,1
2066,0.7576,0.749076568853,0.765973163771
2069,1.0,0.999631180085,1
2070,0.0539,0.0495544534052,0.0585075857651
2071,1e-05,0,0.000368819914619
2120,1.0,0.999631180085,1
2121,0.0076,0.00599247384747,0.00950342585072
2122,1.0,0.999631180085,1
2123,1.0,0.999631180085,1
2124,0.7632,0.754741873842,0.771504582494
2172,0.2289,0.220695578665,0.237262588395
2173,0.7941,0.786039615837,0.801988745169
